组织结构定义
集团
管控范围
业务单元
部门
业务人员来源
职务类别-全局
职务类别-集团
职务-全局
职务-集团
岗位序列-全局
岗位序列-集团
岗位
账簿类型
核算账簿
利润中心
利润中心统计体系
利润中心组
成本中心
成本中心统计体系
成本中心组
财务成本域
利润中心成本域
信用控制域
业务汇报关系
资金管理体系-全局
资金管理体系-集团
报表组织体系-全局
报表组织体系-集团
报表合并体系-全局
报表合并体系-集团
预算组织体系-全局
预算组织体系-集团
资产统计体系
采购计划体系
生产计划体系
分销补货体系
维修组织体系
库存统计体系
业务委托关系定义
采购业务委托关系
销售业务委托关系
质检业务委托关系
物流业务委托关系
资金管理代理关系
资产库存业务委托关系
资产维修业务委托关系
维修库存业务委托关系
资产货主业务委托关系
资产使用权业务委托关系
完工入库委托关系
生产领料委托关系
项目库存业务委托关系
核算委托关系
组织结构图
组织结构图－全局
组织结构图－集团
组织月结
月结检查项
财务组织关账
组织批量关账
组织批量结账
